region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Maharashtra,Maharashtra,2003,434290533.4,2072113,14.54407942237997,19.889224299892398
Telangana,,2003,248951269.1,803848,13.597165488001801,19.33276772885028
Bihar,Bihar,2003,204770484.1,153654,11.942458665493378,19.137400320137786
Madhya Pradesh,,2003,212403006.6,710439,13.473638381877675,19.173996002599104
West Bengal,,2003,216343783.5,486309,13.094599523878067,19.192379290688727
Gujarat,,2003,232632853.1,1253938,14.041799565141309,19.264972030981273
Andhra Pradesh,,2003,234977692.3,899998,13.710147831192891,19.275001141219658
Tamil Nadu,,2003,203774758.0,1492880,14.216217704905814,19.132525814359745
Karnataka,,2003,203825854.2,1129626,13.937397171305882,19.132776531354462
Jharkhand,,2003,123296464.9,158898,11.976017828846638,18.630102297001745
Rajasthan,,2003,176913399.1,1292969,14.072451689949368,18.99117090018471
Chhattisgarh,,2003,102284729.1,231219,12.351120635583609,18.443270944119313
Kerala,Kerala,2003,134071479.4,336191,12.725434759563438,18.713883644051062
Punjab,Punjab,2003,163182017.0,966818,13.781765556102997,18.91037680447194
Uttarakhand,,2003,88583486.64,132450,11.793960570200401,18.29945601716583
NCT of Delhi,Delhi,2003,140380813.2,108680,11.59616315555353,18.759869382097758
Haryana,,2003,99912909.85,675963,13.423893634593055,18.419809462997325
Odisha,,2003,74194389.51,244954,12.408825757620619,18.12219909220602
Assam,,2003,56532890.72,171618,12.05302641390873,17.850333163378036
Puducherry,,2003,17187280.15,20245,9.915663622415263,16.659680142036528
Himachal Pradesh,,2003,30614964.79,137343,11.83023679834633,17.236999492803704
Jammu and Kashmir,,2003,41751572.27,138098,11.835718929445624,17.547247667713727
Tripura,,2003,9364747.992,34936,10.461273381403048,16.052462983941396
Goa,Goa,2003,9895031.104,47886,10.776578673933344,16.107543280419623
Manipur,,2003,6325814.614,14044,9.549951249335919,15.66014937701206
Meghalaya,,2003,6545380.223,14677,9.594037602949115,15.694270049298048
Nagaland,,2003,4632864.982,7503,8.923059552345055,15.348686021301996
Sikkim,Sikkim,2003,2808599.843,2510,7.828042016181639,14.848196640616479
Mizoram,,2003,4174990.687,6156,8.7251841193889,15.244622685605922
Lakshadweep,,2003,798875.8103,242,5.488979047616993,13.590960781253429
Uttar Pradesh,,2004,468314903.1,1013706,13.829123490128687,19.964651497478282
Maharashtra,Maharashtra,2004,465062751.2,2182136,14.595814776154821,19.957682903264065
Telangana,,2004,259753585.2,924621,13.737139213617914,19.37524399035076
Bihar,Bihar,2004,221805911.4,174184,12.067867548142708,19.217313284464066
Madhya Pradesh,,2004,225440997.6,931813,13.744887440491015,19.233569031229056
West Bengal,,2004,229895964.6,628504,13.35109768726257,19.253137436730295
Gujarat,,2004,254017410.8,1299464,14.07746243741275,19.352913369090302
Andhra Pradesh,,2004,253871657.8,1103640,13.914124374745668,19.352339413031736
Tamil Nadu,,2004,215521231.5,1507855,14.226198675712745,19.188569984696862
Karnataka,,2004,222712629.3,1289241,14.069564238842549,19.221392840543313
Jharkhand,,2004,128074873.5,198096,12.196507091141047,18.668125600086533
Rajasthan,,2004,190731624.2,1559769,14.260048297749378,19.066377889019176
Chhattisgarh,,2004,106318796.9,355031,12.779960416755255,18.481952656466262
Kerala,Kerala,2004,157071404.3,413970,12.93354881057005,18.87221106437898
Punjab,Punjab,2004,178243882.0,1074683,13.887536301641285,18.998663294089003
Uttarakhand,,2004,92283580.44,173319,12.062889163859689,18.340376790257057
NCT of Delhi,Delhi,2004,142508095.7,107675,11.586872802794375,18.774909367989068
Haryana,,2004,107879108.2,780597,13.567814303334433,18.496521789609126
Odisha,,2004,80012344.39,377193,12.840512298286594,18.197691485609383
Assam,,2004,62121469.59,232512,12.356697158589405,17.944602213241172
Puducherry,,2004,17964616.38,20538,9.93003259466045,16.703914624558372
Himachal Pradesh,,2004,33623128.88,173202,12.062213880123966,17.330724747646492
Jammu and Kashmir,,2004,45566841.31,175118,12.073215368495815,17.634690845718065
Tripura,,2004,10053881.22,47179,10.761704369273938,16.123469308961567
Goa,Goa,2004,11111218.57,52428,10.86719626947719,16.22346583786938
Manipur,,2004,6758833.588,16835,9.731215925595592,15.726360886977501
Meghalaya,,2004,7605775.954,26264,10.17595483993067,15.844418510554767
Nagaland,,2004,5023394.683,12072,9.398644828810497,15.429616494799605
Sikkim,Sikkim,2004,3058129.161,6249,8.740178330183843,14.933313901662245
Mizoram,,2004,4811922.229,8709,9.072113400929537,15.386607194059152
Lakshadweep,,2004,835541.7939,248,5.513469067932694,13.635835648387681
Uttar Pradesh,,2005,508409099.0,950745,13.765001177288697,20.046796994444357
Maharashtra,Maharashtra,2005,497682236.1,1859647,14.43589724810907,20.025472351208688
Telangana,,2005,270834053.1,833600,13.633508961977402,19.417016841096526
Bihar,Bihar,2005,239983053.4,185104,12.128673162292351,19.296078867979872
Madhya Pradesh,,2005,238981122.5,857051,13.661252717395508,19.29189512142063
West Bengal,,2005,244135753.1,611889,13.324306188838287,19.313234993707695
Gujarat,,2005,277177680.7,1203519,14.000760331676691,19.440169305083092
Andhra Pradesh,,2005,274209152.3,976173,13.791395114030024,19.42940170272655
Tamil Nadu,,2005,227831647.7,1387684,14.143146735629315,19.244117526895856
Karnataka,,2005,243108121.3,1253288,14.041281063810056,19.30901684596816
Jharkhand,,2005,132953350.3,188990,12.149449435501934,18.705508875034933
Rajasthan,,2005,205376996.3,1463772,14.196527230501765,19.140357854542266
